"tract","Name","Population_Density_in_2010"
6075012700,"Marina District, San Francisco, CA",20786
6075021200,"Dolores Heights, San Francisco, CA",20739
6075033203,"Lakeshore, San Francisco, CA",20544
6075021300,"Noe Valley, San Francisco, CA",20446
6075017000,"The Castro, San Francisco, CA",20381
6075025500,"Cayuga Terrace, San Francisco, CA",20363
6075023001,"Bayview, San Francisco, CA",20296
6075015400,"Laurel Heights, San Francisco, CA",20219
6075032700,"Outer Sunset, San Francisco, CA",20160
6075025701,"Excelsior, San Francisco, CA",19867
6075021800,"Glen Park, San Francisco, CA",19794
6075013200,"Pacific Heights, San Francisco, CA",19725
6075032902,"Sunset District, San Francisco, CA",19646
6075030301,"Inner Sunset, San Francisco, CA",19443
6075032901,"Sunset District, San Francisco, CA",19386
6075032802,"Sunset District, San Francisco, CA",19090
6075013300,"Presidio Heights, San Francisco, CA",18893
6075022802,"Mission District, San Francisco, CA",18741
6075022702,"Potrero Hill, San Francisco, CA",18727
6075032801,"Parkside, San Francisco, CA",18670
6075023102,"Bayview, San Francisco, CA",18021
6075061500,"South of Market, San Francisco, CA",17833
6075020402,"Twin Peaks, San Francisco, CA",17531
6075061400,"Potrero Hill, San Francisco, CA",17516
6075026302,"Crocker-Amazon, San Francisco, CA",17038
6075025900,"Excelsior, San Francisco, CA",16776
6075035400,"Parkside, San Francisco, CA",16769
6075035300,"Sunset District, San Francisco, CA",16611
6075021600,"Noe Valley, San Francisco, CA",16606
6075030302,"Golden Gate Heights, San Francisco, CA",15430
6075031100,"Outer Mission, San Francisco, CA",14887
6075022704,"Potrero Hill, San Francisco, CA",14867
6075035201,"Sunset District, San Francisco, CA",14601
6075025100,"Bernal Heights, San Francisco, CA",14312
6075047901,"Outer Richmond, San Francisco, CA",14222
6075023200,"Bayview, San Francisco, CA",13885
6075030400,"Forest Hill, San Francisco, CA",13652
6075033000,"Parkside, San Francisco, CA",13340
6075010100,"North Beach, San Francisco, CA",12463
6075012602,"Marina District, San Francisco, CA",11971
6075030800,"West of Twin Peaks, San Francisco, CA",11831
6075018000,"Mission Bay, San Francisco, CA",11660
6075030700,"Miraloma, San Francisco, CA",11470
6075033100,"Lakeshore, San Francisco, CA",11468
6075060700,"Mission Bay, San Francisco, CA",11297
6075042800,"Outer Richmond, San Francisco, CA",11155
6075023400,"Bayview, San Francisco, CA",11091
6075030600,"Forest Hill Extension, San Francisco, CA",11050
6075031000,"West of Twin Peaks, San Francisco, CA",11022
6075023300,"Bayview, San Francisco, CA",10667
6075010500,"Financial District, San Francisco, CA",10170
6075030102,"Inner Sunset, San Francisco, CA",9934
6075033201,"Lakeshore, San Francisco, CA",9821
6075030900,"Ingleside Terraces, San Francisco, CA",9204
6075021700,"Glen Park, San Francisco, CA",8312
6075011700,"San Francisco, CA",8293
6075023103,"Bayview, San Francisco, CA",7680
6075030500,"Midtown Terrace, San Francisco, CA",7235
6075017700,"Mission District, San Francisco, CA",6097
6075061000,"Bayview, San Francisco, CA",4313
6075022600,"Central Waterfront, San Francisco, CA",2927
6075060100,"Presidio, San Francisco, CA",1371
6075980501,"Visitacion Valley, San Francisco, CA",1302
6075060400,"Lakeshore, San Francisco, CA",995.3
6075980200,"Sea Cliff, San Francisco, CA",810.1
6075980600,"Bayview, San Francisco, CA",567.4
6075980900,"Bayview, San Francisco, CA",252.7
6075980300,"Golden Gate Park, San Francisco, CA",101.9
